SHOP_NAME,ADDRESS,PHONE_NUMBER,TYPE_OF_SHOP,LATITUDE,LONGITUDE
SECOND#(세컨드샵),서울특별시 서초구 서초동 1510-9 2층 ,02  598 9892,일반미용업,37.4873025655019,127.00870902741
모던헤어,서울특별시 동작구 사당동 317-1 ,02  599 4427,일반미용업,37.4824187429085,126.973283976932
드웰헤어,서울특별시 마포구 연남동 224-23번지 ,02  60110366,일반미용업,37.563996524853,126.926441819614
미가본 헤어아트,서울특별시 동작구 상도동 351-7 ,02  60121529,일반미용업,37.5016580665609,126.932939202902
해연헤어,서울특별시 구로구 개봉동 203-15 ,02  60123603,일반미용업,37.4939415983663,126.857860694468
늘꾸미다,서울특별시 강동구 상일동 280 아주빌딩 ,02  60127676,일반미용업,37.5496149222842,127.170984990267
이룸헤어,서울특별시 강북구 수유동 254-43번지 ,02  60131869,일반미용업,37.6456884450137,127.019977256725
비샵(B#),서울특별시 강북구 미아동 84-10번지 ,02  60147758,일반미용업,37.6148384581882,127.034878982158
티아브헤어,서울특별시 강북구 미아동 777-18 ,02  60149062,일반미용업,37.6251038480413,127.01807670412
master hand 마스터 핸드,서울특별시 마포구 합정동 393-24번지 1층 ,02  60150952,일반미용업,37.5497440727659,126.909655735588
니즈온헤어(NEEDS ON HAIR),서울특별시 강북구 미아동 211-63 2층 ,02  60151008,일반미용업,37.6260077651897,127.024765555498
헤어에스 (hair S),서울특별시 영등포구 당산동4가 88번지 당산현대아파트상가 106호,02  60155585,일반미용업,37.5310603162321,126.89638327158
메종드헤어0403 암사점,서울특별시 강동구 암사동 466-9 102호,02  60156820,일반미용업,37.5535351017798,127.13011737611
피가로스,서울특별시 광진구 화양동 36-39 102호,02  60325051,일반미용업,37.5434867147309,127.067435335487
헤어 주,서울특별시 강서구 내발산동 677-19번지 1층 ,02  60414004,일반미용업,37.5538050751402,126.837417305771
미고헤어?,서울특별시 영등포구 신길동 4066 101호,02  60521712,일반미용업,37.498617684798,126.916623054784
나연헤어,서울특별시 노원구 공릉동 340-17번지 2층 ,02  60521800,일반미용업,37.6234929732622,127.079650660486
헤어명가,서울특별시 영등포구 대림동 1066-68 ,02  60526788,일반미용업,37.489597754797,126.898491618064
위(WE)헤어(중곡점),서울특별시 광진구 중곡동 30-60번지 1층 ,02  60533313,일반미용업,37.5641386173304,127.083823767703
라비앙르로즈,서울특별시 마포구 창전동 2-3번지 ,02  60535053,일반미용업,37.5532183520963,126.933272828626
BB.HAIR(비비헤어),서울특별시 강북구 미아동 860-241 201호,02  60536808,일반미용업,37.6125240879784,127.031007927351
리안헤어(구수동사거리점),서울특별시 마포구 구수동 74-2번지 정호빌딩 ,02  60537043,일반미용업,37.545215848769,126.932769167454
JM 헤어갤러리,서울특별시 은평구 구산동 321-96 ,02  60538585,일반미용업,37.6154141079498,126.90833712033
오샤론헤어,서울특별시 양천구 신정동 120-73번지 1층 ,02  60717141,일반미용업,37.5208424032101,126.874961876351
블룸네일(BLOOM NAIL),서울특별시 강남구 역삼동 664-12번지 ,02  565 4141,"일반미용업, 네일미용업",37.5050859807531,127.039103727465
아히나헤어 잠실본점,서울특별시 송파구 잠실동 40 갤러리아팰리스 지하1층 27호,02  566 3518,"일반미용업, 네일미용업",37.5111038313694,127.093918656887
리안헤어종암하월곡점,서울특별시 성북구 하월곡동 90-117 아이앤티(강북) ,02  60152070,"일반미용업, 네일미용업",37.6059606638794,127.031637023491
